base_name,Point_Proximity_Percentage
ground_576_gt.ply,83.88671875
ground_562_gt.ply,84.814453125
ground_701_gt.ply,83.154296875
ground_1041_gt.ply,82.12890625
ground_451_gt.ply,67.7734375
ground_879_gt.ply,29.98046875
ground_948_gt.ply,70.99609375
ground_914_gt.ply,47.607421875
ground_14_gt.ply,84.521484375
ground_762_gt.ply,92.7734375
ground_284_gt.ply,77.05078125
ground_994_gt.ply,81.884765625
ground_728_gt.ply,98.291015625
ground_1300_gt.ply,79.248046875
ground_109_gt.ply,79.248046875
ground_63_gt.ply,86.62109375
ground_940_gt.ply,63.232421875
ground_1417_gt.ply,77.978515625
ground_1329_gt.ply,80.2734375
ground_944_gt.ply,74.951171875
ground_258_gt.ply,79.1015625
ground_250_gt.ply,80.56640625
ground_1213_gt.ply,87.79296875
ground_1348_gt.ply,70.41015625
ground_676_gt.ply,77.05078125
ground_195_gt.ply,69.873046875
ground_754_gt.ply,93.701171875
ground_696_gt.ply,67.67578125
ground_529_gt.ply,78.7109375
ground_61_gt.ply,76.66015625
ground_1378_gt.ply,78.369140625
ground_639_gt.ply,82.080078125
ground_388_gt.ply,77.24609375
ground_544_gt.ply,80.517578125
ground_164_gt.ply,79.8828125
ground_240_gt.ply,78.857421875
ground_1441_gt.ply,74.31640625
ground_169_gt.ply,86.1328125
ground_408_gt.ply,67.48046875
ground_283_gt.ply,75.830078125
ground_160_gt.ply,85.3515625
ground_972_gt.ply,87.548828125
ground_1003_gt.ply,80.712890625
ground_461_gt.ply,86.81640625
ground_1443_gt.ply,77.34375
ground_1082_gt.ply,90.8203125
ground_881_gt.ply,62.40234375
ground_1400_gt.ply,73.828125
ground_355_gt.ply,80.46875
ground_1363_gt.ply,81.787109375
ground_466_gt.ply,86.23046875
ground_1201_gt.ply,75.146484375
ground_1380_gt.ply,76.5625
ground_295_gt.ply,76.3671875
ground_711_gt.ply,96.484375
ground_162_gt.ply,68.9453125
ground_937_gt.ply,67.96875
ground_1200_gt.ply,97.900390625
ground_967_gt.ply,97.705078125
ground_956_gt.ply,75.830078125
ground_452_gt.ply,80.76171875
ground_1142_gt.ply,84.5703125
ground_507_gt.ply,80.76171875
ground_133_gt.ply,76.220703125
ground_1328_gt.ply,78.857421875
ground_763_gt.ply,95.166015625
ground_1346_gt.ply,80.37109375
ground_293_gt.ply,85.107421875
ground_1171_gt.ply,45.1171875
ground_612_gt.ply,74.658203125
ground_579_gt.ply,79.638671875
