base_name,percentage_within_threshold
ground_576_gt.ply,87.939453125
ground_562_gt.ply,87.060546875
ground_701_gt.ply,78.02734375
ground_451_gt.ply,92.041015625
ground_14_gt.ply,87.98828125
ground_762_gt.ply,87.060546875
ground_284_gt.ply,87.353515625
ground_728_gt.ply,85.595703125
ground_109_gt.ply,86.279296875
ground_63_gt.ply,89.990234375
ground_258_gt.ply,86.572265625
ground_250_gt.ply,90.234375
ground_676_gt.ply,88.037109375
ground_195_gt.ply,82.763671875
ground_754_gt.ply,90.234375
ground_696_gt.ply,89.404296875
ground_529_gt.ply,86.1328125
ground_61_gt.ply,89.35546875
ground_639_gt.ply,84.86328125
ground_388_gt.ply,89.697265625
ground_544_gt.ply,84.033203125
ground_164_gt.ply,86.23046875
ground_240_gt.ply,84.228515625
ground_169_gt.ply,90.380859375
ground_408_gt.ply,86.962890625
ground_283_gt.ply,87.20703125
ground_160_gt.ply,93.994140625
ground_461_gt.ply,90.478515625
ground_355_gt.ply,89.599609375
ground_466_gt.ply,91.40625
ground_295_gt.ply,85.9375
ground_711_gt.ply,85.3515625
ground_162_gt.ply,86.767578125
ground_452_gt.ply,89.697265625
ground_507_gt.ply,84.814453125
ground_133_gt.ply,90.380859375
ground_763_gt.ply,84.9609375
ground_293_gt.ply,89.892578125
ground_612_gt.ply,86.42578125
ground_579_gt.ply,86.767578125
ground_260_gt.ply,89.35546875
ground_125_gt.ply,90.33203125
ground_598_gt.ply,85.83984375
ground_641_gt.ply,86.181640625
ground_530_gt.ply,88.427734375
ground_593_gt.ply,88.330078125
ground_155_gt.ply,86.669921875
ground_158_gt.ply,86.572265625
ground_624_gt.ply,90.087890625
ground_746_gt.ply,79.58984375
ground_228_gt.ply,89.84375
ground_366_gt.ply,91.40625
ground_477_gt.ply,91.2109375
ground_69_gt.ply,86.328125
ground_669_gt.ply,87.939453125
ground_509_gt.ply,85.009765625
ground_320_gt.ply,89.0625
ground_502_gt.ply,83.056640625
ground_367_gt.ply,85.791015625
ground_601_gt.ply,84.66796875
ground_715_gt.ply,86.181640625
ground_629_gt.ply,81.982421875
ground_316_gt.ply,86.865234375
ground_178_gt.ply,88.916015625
ground_420_gt.ply,90.966796875
ground_36_gt.ply,90.0390625
ground_415_gt.ply,85.205078125
ground_34_gt.ply,91.2109375
ground_40_gt.ply,88.4765625
ground_151_gt.ply,89.697265625
ground_626_gt.ply,88.720703125
ground_681_gt.ply,83.30078125
ground_640_gt.ply,88.18359375
ground_95_gt.ply,87.158203125
ground_782_gt.ply,86.865234375
ground_775_gt.ply,90.13671875
ground_266_gt.ply,88.037109375
ground_723_gt.ply,86.279296875
ground_321_gt.ply,83.984375
ground_634_gt.ply,83.056640625
ground_571_gt.ply,83.984375
ground_16_gt.ply,92.041015625
ground_145_gt.ply,91.796875
ground_596_gt.ply,85.64453125
ground_23_gt.ply,91.455078125
ground_484_gt.ply,90.0390625
ground_798_gt.ply,90.0390625
ground_656_gt.ply,87.255859375
ground_373_gt.ply,91.357421875
ground_486_gt.ply,81.396484375
ground_436_gt.ply,88.916015625
ground_433_gt.ply,91.89453125
ground_435_gt.ply,90.0390625
ground_196_gt.ply,88.76953125
ground_334_gt.ply,90.966796875
ground_608_gt.ply,86.572265625
ground_518_gt.ply,81.93359375
ground_143_gt.ply,85.3515625
ground_697_gt.ply,79.541015625
ground_209_gt.ply,85.9375
ground_712_gt.ply,88.96484375
ground_185_gt.ply,88.525390625
ground_126_gt.ply,90.625
ground_140_gt.ply,87.939453125
ground_607_gt.ply,72.36328125
ground_10_gt.ply,91.89453125
ground_237_gt.ply,86.376953125
ground_594_gt.ply,88.96484375
ground_784_gt.ply,86.5234375
ground_638_gt.ply,88.427734375
ground_179_gt.ply,88.623046875
ground_806_gt.ply,84.130859375
ground_370_gt.ply,91.259765625
ground_652_gt.ply,85.498046875
ground_630_gt.ply,85.791015625
ground_398_gt.ply,92.48046875
ground_220_gt.ply,85.498046875
ground_599_gt.ply,86.23046875
ground_505_gt.ply,84.228515625
ground_708_gt.ply,82.275390625
ground_422_gt.ply,93.65234375
ground_443_gt.ply,90.380859375
ground_303_gt.ply,91.40625
ground_52_gt.ply,87.20703125
ground_765_gt.ply,86.376953125
ground_226_gt.ply,83.349609375
ground_358_gt.ply,92.48046875
ground_670_gt.ply,86.62109375
ground_575_gt.ply,87.255859375
ground_324_gt.ply,84.27734375
ground_578_gt.ply,87.20703125
ground_131_gt.ply,92.822265625
ground_43_gt.ply,90.625
ground_387_gt.ply,93.408203125
ground_722_gt.ply,86.328125
ground_540_gt.ply,87.98828125
ground_604_gt.ply,88.720703125
ground_406_gt.ply,88.818359375
ground_315_gt.ply,83.49609375
ground_459_gt.ply,90.283203125
ground_620_gt.ply,82.91015625
ground_313_gt.ply,86.62109375
ground_568_gt.ply,85.888671875
ground_691_gt.ply,87.5
ground_759_gt.ply,83.642578125
ground_745_gt.ply,87.451171875
ground_709_gt.ply,89.0625
ground_210_gt.ply,88.916015625
ground_349_gt.ply,91.796875
ground_289_gt.ply,85.595703125
ground_170_gt.ply,85.3515625
ground_625_gt.ply,86.572265625
ground_600_gt.ply,82.763671875
ground_368_gt.ply,91.796875
ground_717_gt.ply,89.794921875
ground_44_gt.ply,91.2109375
ground_62_gt.ply,91.69921875
ground_565_gt.ply,87.841796875
ground_103_gt.ply,89.990234375
ground_483_gt.ply,89.697265625
ground_165_gt.ply,92.919921875
ground_499_gt.ply,86.572265625
ground_211_gt.ply,85.9375
ground_124_gt.ply,91.015625
ground_263_gt.ply,88.37890625
ground_28_gt.ply,81.982421875
ground_56_gt.ply,90.869140625
ground_796_gt.ply,85.83984375
ground_249_gt.ply,82.71484375
ground_327_gt.ply,93.06640625
ground_278_gt.ply,83.69140625
ground_662_gt.ply,83.69140625
ground_610_gt.ply,89.94140625
ground_741_gt.ply,84.08203125
ground_275_gt.ply,83.30078125
ground_343_gt.ply,88.0859375
ground_445_gt.ply,91.064453125
ground_673_gt.ply,88.8671875
ground_376_gt.ply,89.94140625
ground_756_gt.ply,83.203125
ground_47_gt.ply,88.134765625
ground_501_gt.ply,85.400390625
ground_374_gt.ply,86.03515625
ground_440_gt.ply,85.9375
ground_60_gt.ply,85.595703125
ground_699_gt.ply,89.697265625
ground_287_gt.ply,86.572265625
ground_322_gt.ply,90.087890625
ground_675_gt.ply,83.7890625
ground_534_gt.ply,84.08203125
ground_286_gt.ply,91.2109375
ground_93_gt.ply,88.18359375
ground_0_gt.ply,82.8125
ground_467_gt.ply,90.673828125
ground_589_gt.ply,83.88671875
ground_439_gt.ply,90.72265625
ground_144_gt.ply,90.283203125
ground_279_gt.ply,88.37890625
ground_777_gt.ply,84.86328125
ground_277_gt.ply,90.966796875
ground_105_gt.ply,88.96484375
ground_294_gt.ply,84.033203125
ground_582_gt.ply,78.759765625
ground_70_gt.ply,91.2109375
ground_83_gt.ply,91.40625
ground_288_gt.ply,90.52734375
ground_645_gt.ply,86.81640625
ground_755_gt.ply,85.693359375
ground_617_gt.ply,87.20703125
ground_273_gt.ply,91.845703125
ground_394_gt.ply,87.109375
ground_96_gt.ply,90.13671875
ground_678_gt.ply,88.427734375
ground_614_gt.ply,85.15625
ground_337_gt.ply,88.4765625
ground_152_gt.ply,91.30859375
ground_455_gt.ply,89.2578125
ground_615_gt.ply,85.400390625
ground_740_gt.ply,87.98828125
ground_39_gt.ply,81.93359375
ground_496_gt.ply,82.6171875
ground_793_gt.ply,82.177734375
ground_795_gt.ply,82.71484375
ground_375_gt.ply,91.9921875
ground_234_gt.ply,89.501953125
ground_2_gt.ply,87.451171875
ground_15_gt.ply,85.9375
ground_742_gt.ply,87.255859375
ground_310_gt.ply,85.15625
ground_707_gt.ply,87.548828125
ground_621_gt.ply,84.912109375
ground_426_gt.ply,91.11328125
ground_458_gt.ply,91.69921875
ground_276_gt.ply,84.716796875
ground_326_gt.ply,90.0390625
ground_790_gt.ply,88.18359375
ground_448_gt.ply,88.0859375
ground_692_gt.ply,87.353515625
ground_407_gt.ply,91.11328125
ground_789_gt.ply,85.986328125
ground_339_gt.ply,86.865234375
ground_319_gt.ply,88.427734375
ground_556_gt.ply,83.935546875
ground_35_gt.ply,90.13671875
ground_180_gt.ply,89.74609375
ground_785_gt.ply,85.44921875
ground_809_gt.ply,83.251953125
ground_528_gt.ply,84.619140625
ground_312_gt.ply,91.69921875
ground_108_gt.ply,89.697265625
ground_536_gt.ply,85.83984375
ground_732_gt.ply,88.525390625
ground_268_gt.ply,79.39453125
ground_38_gt.ply,83.49609375
ground_134_gt.ply,90.869140625
ground_531_gt.ply,88.57421875
ground_521_gt.ply,85.302734375
ground_516_gt.ply,86.328125
ground_473_gt.ply,90.576171875
ground_163_gt.ply,87.5
ground_535_gt.ply,84.716796875
ground_632_gt.ply,71.533203125
ground_57_gt.ply,89.94140625
ground_29_gt.ply,93.408203125
ground_533_gt.ply,86.328125
ground_201_gt.ply,83.10546875
ground_802_gt.ply,91.357421875
ground_89_gt.ply,82.2265625
ground_148_gt.ply,88.623046875
ground_393_gt.ply,91.259765625
ground_478_gt.ply,92.919921875
ground_416_gt.ply,89.35546875
ground_513_gt.ply,84.86328125
ground_479_gt.ply,92.1875
ground_491_gt.ply,83.0078125
ground_341_gt.ply,92.529296875
ground_643_gt.ply,86.669921875
ground_687_gt.ply,87.841796875
ground_539_gt.ply,88.916015625
ground_264_gt.ply,87.5
ground_285_gt.ply,83.59375
ground_474_gt.ply,86.376953125
ground_557_gt.ply,88.28125
ground_425_gt.ply,92.041015625
ground_572_gt.ply,84.765625
ground_498_gt.ply,87.255859375
ground_22_gt.ply,89.2578125
ground_569_gt.ply,82.470703125
ground_380_gt.ply,92.1875
ground_207_gt.ply,90.966796875
ground_261_gt.ply,86.962890625
ground_223_gt.ply,85.546875
ground_653_gt.ply,82.32421875
ground_68_gt.ply,82.12890625
ground_468_gt.ply,84.619140625
ground_405_gt.ply,92.138671875
ground_786_gt.ply,89.0625
ground_308_gt.ply,86.1328125
ground_434_gt.ply,86.1328125
ground_9_gt.ply,90.625
ground_781_gt.ply,83.837890625
ground_551_gt.ply,87.548828125
ground_602_gt.ply,85.7421875
ground_402_gt.ply,89.6484375
ground_271_gt.ply,85.595703125
ground_438_gt.ply,83.3984375
ground_583_gt.ply,85.546875
ground_351_gt.ply,90.478515625
ground_677_gt.ply,80.712890625
ground_633_gt.ply,84.130859375
ground_102_gt.ply,89.306640625
ground_803_gt.ply,85.83984375
ground_488_gt.ply,81.396484375
ground_88_gt.ply,88.525390625
ground_241_gt.ply,86.865234375
ground_86_gt.ply,87.890625
ground_265_gt.ply,88.232421875
ground_731_gt.ply,81.884765625
ground_199_gt.ply,94.62890625
ground_580_gt.ply,82.568359375
ground_198_gt.ply,87.548828125
ground_555_gt.ply,82.71484375
ground_688_gt.ply,83.3984375
ground_622_gt.ply,85.9375
ground_764_gt.ply,85.7421875
ground_90_gt.ply,89.697265625
ground_508_gt.ply,83.251953125
ground_80_gt.ply,85.595703125
ground_597_gt.ply,91.259765625
ground_132_gt.ply,90.283203125
ground_449_gt.ply,92.67578125
ground_454_gt.ply,91.650390625
ground_146_gt.ply,87.01171875
ground_354_gt.ply,88.4765625
ground_807_gt.ply,78.515625
ground_752_gt.ply,88.525390625
ground_161_gt.ply,90.283203125
ground_738_gt.ply,81.15234375
ground_545_gt.ply,85.498046875
ground_49_gt.ply,87.98828125
ground_695_gt.ply,85.693359375
ground_442_gt.ply,90.380859375
ground_390_gt.ply,92.236328125
ground_469_gt.ply,91.943359375
ground_5_gt.ply,88.0859375
ground_590_gt.ply,82.71484375
ground_82_gt.ply,87.939453125
ground_411_gt.ply,81.689453125
ground_113_gt.ply,88.720703125
ground_541_gt.ply,84.66796875
ground_410_gt.ply,92.67578125
ground_721_gt.ply,84.228515625
ground_175_gt.ply,87.79296875
ground_378_gt.ply,92.08984375
ground_166_gt.ply,93.994140625
ground_290_gt.ply,82.51953125
ground_26_gt.ply,92.48046875
ground_431_gt.ply,91.11328125
ground_306_gt.ply,87.3046875
ground_397_gt.ply,88.525390625
ground_350_gt.ply,91.30859375
ground_177_gt.ply,81.73828125
ground_428_gt.ply,88.232421875
ground_419_gt.ply,83.349609375
ground_77_gt.ply,90.087890625
ground_37_gt.ply,94.43359375
ground_747_gt.ply,84.9609375
ground_181_gt.ply,90.771484375
ground_400_gt.ply,89.990234375
ground_463_gt.ply,90.72265625
ground_636_gt.ply,86.767578125
ground_272_gt.ply,79.052734375
ground_778_gt.ply,86.279296875
ground_661_gt.ply,85.595703125
ground_336_gt.ply,89.16015625
ground_792_gt.ply,87.548828125
ground_106_gt.ply,89.892578125
ground_159_gt.ply,86.669921875
ground_743_gt.ply,86.279296875
ground_729_gt.ply,87.20703125
ground_254_gt.ply,88.916015625
ground_72_gt.ply,90.91796875
ground_581_gt.ply,84.1796875
ground_115_gt.ply,90.91796875
ground_444_gt.ply,91.89453125
ground_783_gt.ply,87.20703125
ground_573_gt.ply,88.96484375
